nohup: ignoring input
>>> Building unified WSL target in build/ ...
cmake -S . -B build -G "Ninja" -DCMAKE_BUILD_TYPE=Release -DDCKP_ENABLE_SANITIZERS=OFF -DDCKP_ENABLE_HARDENING=ON 
-- Configuring done (0.7s)
-- Generating done (0.2s)
-- Build files have been written to: /mnt/c/Users/thall/Documents/dckp-sbpo/build
cmake --build build --parallel
ninja: no work to do.
[inst 57/100 | run 5/5] 12I2 -> profit=4560 (10000ms, valid=true)
[inst 58/100 | run 1/5] 12I3 -> profit=4590 (10000ms, valid=true)
[inst 58/100 | run 2/5] 12I3 -> profit=4596 (10000ms, valid=true)
[inst 58/100 | run 3/5] 12I3 -> profit=4580 (10000ms, valid=true)
[inst 58/100 | run 4/5] 12I3 -> profit=4560 (10000ms, valid=true)
[inst 58/100 | run 5/5] 12I3 -> profit=4576 (10000ms, valid=true)
[inst 59/100 | run 1/5] 12I4 -> profit=4565 (10000ms, valid=true)
[inst 59/100 | run 2/5] 12I4 -> profit=4595 (10000ms, valid=true)
[inst 59/100 | run 3/5] 12I4 -> profit=4570 (10000ms, valid=true)
[inst 59/100 | run 4/5] 12I4 -> profit=4575 (10000ms, valid=true)
[inst 59/100 | run 5/5] 12I4 -> profit=4570 (10000ms, valid=true)
[inst 60/100 | run 1/5] 12I5 -> profit=4582 (10000ms, valid=true)
[inst 60/100 | run 2/5] 12I5 -> profit=4560 (10000ms, valid=true)
[inst 60/100 | run 3/5] 12I5 -> profit=4567 (10000ms, valid=true)
[inst 60/100 | run 4/5] 12I5 -> profit=4550 (10000ms, valid=true)
[inst 60/100 | run 5/5] 12I5 -> profit=4569 (10000ms, valid=true)
[inst 61/100 | run 1/5] 13I1 -> profit=4449 (10000ms, valid=true)
[inst 61/100 | run 2/5] 13I1 -> profit=4430 (10000ms, valid=true)
[inst 61/100 | run 3/5] 13I1 -> profit=4448 (10000ms, valid=true)
[inst 61/100 | run 4/5] 13I1 -> profit=4428 (10000ms, valid=true)
[inst 61/100 | run 5/5] 13I1 -> profit=4420 (10000ms, valid=true)
[inst 62/100 | run 1/5] 13I2 -> profit=4446 (10000ms, valid=true)
[inst 62/100 | run 2/5] 13I2 -> profit=4430 (10000ms, valid=true)
[inst 62/100 | run 3/5] 13I2 -> profit=4440 (10000ms, valid=true)
[inst 62/100 | run 4/5] 13I2 -> profit=4460 (10000ms, valid=true)
[inst 62/100 | run 5/5] 13I2 -> profit=4430 (10000ms, valid=true)
[inst 63/100 | run 1/5] 13I3 -> profit=4430 (10000ms, valid=true)
[inst 63/100 | run 2/5] 13I3 -> profit=4450 (10000ms, valid=true)
[inst 63/100 | run 3/5] 13I3 -> profit=4440 (10000ms, valid=true)
[inst 63/100 | run 4/5] 13I3 -> profit=4450 (10000ms, valid=true)
[inst 63/100 | run 5/5] 13I3 -> profit=4455 (10000ms, valid=true)
[inst 64/100 | run 1/5] 13I4 -> profit=4420 (10000ms, valid=true)
[inst 64/100 | run 2/5] 13I4 -> profit=4440 (10000ms, valid=true)
[inst 64/100 | run 3/5] 13I4 -> profit=4450 (10000ms, valid=true)
[inst 64/100 | run 4/5] 13I4 -> profit=4439 (10000ms, valid=true)
[inst 64/100 | run 5/5] 13I4 -> profit=4440 (10000ms, valid=true)
[inst 65/100 | run 1/5] 13I5 -> profit=4458 (10000ms, valid=true)
[inst 65/100 | run 2/5] 13I5 -> profit=4440 (10000ms, valid=true)
[inst 65/100 | run 3/5] 13I5 -> profit=4449 (10000ms, valid=true)
[inst 65/100 | run 4/5] 13I5 -> profit=4430 (10000ms, valid=true)
[inst 65/100 | run 5/5] 13I5 -> profit=4429 (10000ms, valid=true)
[inst 66/100 | run 1/5] 14I1 -> profit=4390 (10000ms, valid=true)
[inst 66/100 | run 2/5] 14I1 -> profit=4365 (10000ms, valid=true)
[inst 66/100 | run 3/5] 14I1 -> profit=4380 (10000ms, valid=true)
[inst 66/100 | run 4/5] 14I1 -> profit=4370 (10000ms, valid=true)
[inst 66/100 | run 5/5] 14I1 -> profit=4370 (10000ms, valid=true)
[inst 67/100 | run 1/5] 14I2 -> profit=4349 (10000ms, valid=true)
[inst 67/100 | run 2/5] 14I2 -> profit=4360 (10000ms, valid=true)
[inst 67/100 | run 3/5] 14I2 -> profit=4360 (10000ms, valid=true)
[inst 67/100 | run 4/5] 14I2 -> profit=4360 (10000ms, valid=true)
[inst 67/100 | run 5/5] 14I2 -> profit=4358 (10000ms, valid=true)
