instance,run,seed,profit,weight,capacity,time_ms,valid,algorithm
12I2,2,16311,4577,3997,4000,10000,true,VNS
12I2,3,29825,4560,4000,4000,10000,true,VNS
12I2,4,22657,4559,3999,4000,10000,true,VNS
12I2,5,12144,4560,4000,4000,10000,true,VNS
12I3,1,19853,4590,4000,4000,10000,true,VNS
12I3,2,13173,4596,3996,4000,10000,true,VNS
12I3,3,28202,4580,4000,4000,10000,true,VNS
12I3,4,17526,4560,4000,4000,10000,true,VNS
12I3,5,2665,4576,3996,4000,10000,true,VNS
12I4,1,965,4565,3995,4000,10000,true,VNS
12I4,2,19725,4595,3995,4000,10000,true,VNS
12I4,3,8707,4570,4000,4000,10000,true,VNS
12I4,4,16155,4575,3995,4000,10000,true,VNS
12I4,5,27098,4570,4000,4000,10000,true,VNS
12I5,1,812,4582,3992,4000,10000,true,VNS
12I5,2,18178,4560,4000,4000,10000,true,VNS
12I5,3,24189,4567,3997,4000,10000,true,VNS
12I5,4,10042,4550,4000,4000,10000,true,VNS
12I5,5,20073,4569,3999,4000,10000,true,VNS
13I1,1,15279,4449,3999,4000,10000,true,VNS
13I1,2,28567,4430,4000,4000,10000,true,VNS
13I1,3,11106,4448,3998,4000,10000,true,VNS
13I1,4,16556,4428,3998,4000,10000,true,VNS
13I1,5,4291,4420,4000,4000,10000,true,VNS
13I2,1,30803,4446,3996,4000,10000,true,VNS
13I2,2,26088,4430,4000,4000,10000,true,VNS
13I2,3,5894,4440,4000,4000,10000,true,VNS
13I2,4,21166,4460,4000,4000,10000,true,VNS
13I2,5,18014,4430,4000,4000,10000,true,VNS
13I3,1,30969,4430,4000,4000,10000,true,VNS
13I3,2,25663,4450,4000,4000,10000,true,VNS
13I3,3,2517,4440,4000,4000,10000,true,VNS
13I3,4,26840,4450,4000,4000,10000,true,VNS
13I3,5,22359,4455,3995,4000,10000,true,VNS
13I4,1,21933,4420,4000,4000,10000,true,VNS
13I4,2,28587,4440,4000,4000,10000,true,VNS
13I4,3,29853,4450,4000,4000,10000,true,VNS
13I4,4,27620,4439,3999,4000,10000,true,VNS
13I4,5,19274,4440,4000,4000,10000,true,VNS
13I5,1,31848,4458,3998,4000,10000,true,VNS
13I5,2,26352,4440,4000,4000,10000,true,VNS
13I5,3,27431,4449,3999,4000,10000,true,VNS
13I5,4,20067,4430,4000,4000,10000,true,VNS
13I5,5,20382,4429,3999,4000,10000,true,VNS
14I1,1,30618,4390,4000,4000,10000,true,VNS
14I1,2,1355,4365,3995,4000,10000,true,VNS
14I1,3,9001,4380,4000,4000,10000,true,VNS
14I1,4,12472,4370,4000,4000,10000,true,VNS
14I1,5,29217,4370,4000,4000,10000,true,VNS
14I2,1,9900,4349,3999,4000,10000,true,VNS
14I2,2,32621,4360,4000,4000,10000,true,VNS
14I2,3,2660,4360,4000,4000,10000,true,VNS
14I2,4,31632,4360,4000,4000,10000,true,VNS
14I2,5,6966,4358,3998,4000,10000,true,VNS
14I3,1,19613,4380,4000,4000,10000,true,VNS
14I3,2,5954,4364,3994,4000,10000,true,VNS
14I3,3,14180,4377,3997,4000,10000,true,VNS
14I3,4,17163,4359,3999,4000,10000,true,VNS
14I3,5,11013,4370,4000,4000,10000,true,VNS
14I4,1,26991,4370,4000,4000,10000,true,VNS
14I4,2,6920,4350,4000,4000,10000,true,VNS
14I4,3,22616,4359,3999,4000,10000,true,VNS
14I4,4,24257,4356,3996,4000,10000,true,VNS
14I4,5,4028,4367,3997,4000,10000,true,VNS
14I5,1,28541,4360,4000,4000,10000,true,VNS
14I5,2,27300,4378,3998,4000,10000,true,VNS
14I5,3,21320,4370,4000,4000,10000,true,VNS
14I5,4,29361,4367,3997,4000,10000,true,VNS
14I5,5,4057,4350,4000,4000,10000,true,VNS
15I1,1,2266,4310,4000,4000,10000,true,VNS
15I1,2,3385,4306,3996,4000,10000,true,VNS
15I1,3,6074,4310,4000,4000,10000,true,VNS
15I1,4,29140,4305,3995,4000,10000,true,VNS
15I1,5,1617,4309,3999,4000,10000,true,VNS
15I2,1,23890,4290,4000,4000,10000,true,VNS
15I2,2,28529,4309,3999,4000,10000,true,VNS
15I2,3,3969,4309,3999,4000,10000,true,VNS
15I2,4,29031,4298,3998,4000,10000,true,VNS
15I2,5,13653,4300,4000,4000,10000,true,VNS
15I3,1,13911,4310,4000,4000,10000,true,VNS
15I3,2,999,4310,4000,4000,10000,true,VNS
15I3,3,28338,4308,3998,4000,10000,true,VNS
15I3,4,26997,4300,4000,4000,10000,true,VNS
15I3,5,3478,4309,3999,4000,10000,true,VNS
15I4,1,22057,4317,3997,4000,10000,true,VNS
15I4,2,2610,4299,3999,4000,10000,true,VNS
15I4,3,9852,4300,4000,4000,10000,true,VNS
15I4,4,23591,4305,3995,4000,10000,true,VNS
15I4,5,4904,4315,3995,4000,10000,true,VNS
15I5,1,10521,4310,4000,4000,10000,true,VNS
15I5,2,10643,4329,3999,4000,10000,true,VNS
15I5,3,15633,4308,3998,4000,10000,true,VNS
15I5,4,23749,4309,3999,4000,10000,true,VNS
15I5,5,19024,4301,3991,4000,10000,true,VNS
16I1,1,805,4909,3999,4000,10000,true,VNS
16I1,2,11533,4880,4000,4000,10000,true,VNS
16I1,3,6395,4889,3999,4000,10000,true,VNS
16I1,4,1164,4880,4000,4000,10000,true,VNS
16I1,5,31326,4880,4000,4000,10000,true,VNS
16I2,1,25936,4870,4000,4000,10000,true,VNS
16I2,2,21753,4880,4000,4000,10000,true,VNS
16I2,3,626,4880,4000,4000,10000,true,VNS
16I2,4,22053,4870,4000,4000,10000,true,VNS
16I2,5,27084,4870,4000,4000,10000,true,VNS
16I3,1,8667,4870,4000,4000,10000,true,VNS
16I3,2,25902,4870,4000,4000,10000,true,VNS
16I3,3,1681,4870,4000,4000,10000,true,VNS
16I3,4,23433,4870,4000,4000,10000,true,VNS
16I3,5,9529,4870,4000,4000,10000,true,VNS
16I4,1,30244,4899,3999,4000,10000,true,VNS
16I4,2,19864,4890,4000,4000,10000,true,VNS
16I4,3,4616,4890,4000,4000,10000,true,VNS
16I4,4,16744,4898,3998,4000,10000,true,VNS
16I4,5,9436,4890,4000,4000,10000,true,VNS
16I5,1,20392,4899,3999,4000,10000,true,VNS
16I5,2,23542,4900,4000,4000,10000,true,VNS
16I5,3,4941,4900,4000,4000,10000,true,VNS
16I5,4,32527,4900,4000,4000,10000,true,VNS
